
=== app crash log started at 2026-05-16 05:44:12.692 ===
Command: logcat -b crash -b main -b system -b events -v threadtime AndroidRuntime:E ActivityManager:W ActivityTaskManager:W am_crash:I am_anr:I wm_crash:I DEBUG:E libc:F Process:E Pine:E PineEnhances:E PineXposed:E Xposed:E LSPosed:E PixelParts:E *:S
--------- beginning of crash
05-16 04:51:13.456 23192 23192 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x20 in tid 23192 (s.nexuslauncher), pid 23192 (s.nexuslauncher)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: FATAL EXCEPTION: main
05-16 04:58:54.134 26571 26571 E AndroidRuntime: Process: com.google.android.apps.nexuslauncher, PID: 26571
05-16 04:58:54.134 26571 26571 E AndroidRuntime: java.lang.IllegalArgumentException: Expected receiver of type android.view.View, but got v9.g
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at top.canyie.pine.Pine.callBackupMethod(Pine.java:501)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at top.canyie.pine.Pine$CallFrame.invokeOriginalMethod(Pine.java:1092)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at top.canyie.pine.Pine.handleCall(Pine.java:753)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at top.canyie.pine.entry.Arm64Entry.handleBridge(Arm64Entry.java:158)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at top.canyie.pine.entry.Arm64Entry.voidBridge(Arm64Entry.java:23)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon.handlePreDraw(RecentsTuneTestAddon.java:605)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon.-$$Nest$mhandlePreDraw(Unknown Source:0)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at org.pixel.customparts.addon.recents.RecentsTuneTestAddon$4$1.onPreDraw(RecentsTuneTestAddon.java:351)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.ViewTreeObserver.dispatchOnPreDraw(ViewTreeObserver.java:1179)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:4564)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:3158)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:10884)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1647)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1656)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.Choreographer.doCallbacks(Choreographer.java:1252)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.Choreographer.doFrame(Choreographer.java:1178)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1630)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:1070)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:125)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.os.Looper.dispatchMessage(Looper.java:333)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:263)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:367)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:9387)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:569)
05-16 04:58:54.134 26571 26571 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:929)
05-16 05:10:08.325 28978 28978 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0xfffffff8 in tid 28978 (s.nexuslauncher), pid 28978 (s.nexuslauncher)
05-16 05:24:54.942  3181  3181 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7f0d01a5 in tid 3181 (s.nexuslauncher), pid 3181 (s.nexuslauncher)
--------- beginning of system
05-16 05:25:37.475  1560 16447 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.measurement.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:37.475  1560 16447 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7144ac7
05-16 05:25:37.625  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.icing.LIGHTWEIGHT_INDEX_SERVICE xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:37.626  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@26784fa
05-16 05:25:37.627  1560  2452 W ActivityManager: Unable to start service Intent { act=com.google.android.gms.icing.APP_INDEXING_SERVICE xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:37.627  1560  2452 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@47b3b4c
05-16 05:25:40.374  1560  2452 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:40.374  1560  2452 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@4178d5c
05-16 05:25:41.877  1560  2453 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.cast.service.BIND_CAST_DEVICE_CONTROLLER_SERVICE xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:41.879  1560  2452 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@bad86e
05-16 05:25:42.128  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:42.128  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@6d89215
05-16 05:25:45.271  1560  2453 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:45.271  1560  2453 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@b97d320
05-16 05:25:45.791  1560  4348 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:45.791  1560  4348 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7b7e29b
05-16 05:25:45.855  1560  4962 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:45.855  1560  4962 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@6d41102
05-16 05:25:45.861  1560  4962 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:45.861  1560  2453 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@a564450
05-16 05:25:46.759  1560  2453 W ActivityManager: Scheduling restart of crashed service com.yandex.iot/io.appmetrica.analytics.internal.AppMetricaService in 10000ms for connection
05-16 05:25:46.768  1560  4169 W ActivityManager: Scheduling restart of crashed service com.yandex.iot/com.yandex.passport.internal.provider.communication.HostCommunicationService in 10000ms for connection
05-16 05:25:48.771  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.droidguard.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:48.772  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@f6a0df3
05-16 05:25:52.947  1560  2453 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:25:52.947  1560  2453 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@e02e114
05-16 05:26:00.903  1560  2159 W ActivityManager: pid 7073 com.yandex.iot sent binder code 1 with flags 2 and got error -2147483646
05-16 05:26:00.908  1560  2159 W ActivityManager: ProcessRecord{f017271 0:android.process.acore/u0a294} is attached to a previous process 18906
05-16 05:26:07.057  1560  2159 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:07.058  1560  2159 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@fe1b087
05-16 05:26:15.918  1560  4435 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:15.919  1560  4435 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@3449a9e
05-16 05:26:15.933  1560  4435 W ActivityManager: Unable to start service Intent { act=app.revanced.android.gms.clearcut.service.START xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:15.933  1560  4435 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@3fe8d4c
05-16 05:26:28.774  1560  4435 W ActivityManager: Unable to start service Intent { act=app.revanced.android.c2dm.intent.REGISTER xflg=0x4 pkg=app.revanced.android.gms } U=0: not found
05-16 05:26:28.775  1560  4435 W ActivityManager: Unbind failed: could not find connection for android.os.BinderProxy@7ddde9b
